Words
still
make
much
also
seem
work
never
almost
guitar
guitar's
guitars
like
come
seem
something
back
things
thing
though
although
also
first
vocal
best
new
way
ways
records
two
one
well
take
made
makes
feels
moment
moments
another
feel
less
more 
now
really
enough
will
which
what
know
every
say
said
part
day
good
single
little
beat
beats
title
good
love
yet
world
life
one
find
young
live
time
become
man
woman
friend
friends
family 
story
film
movie
father
mother
son
daughter
aunt
uncle
year
year's
years
family's
family
seem
see
finds
brother
sister
must
lives
must
discover
american
group
home
old
set
becomes
become
people
person
boy
town
